train;age;educ;black;hisp;married;re74;re75;unem75;unem74;re78;agesq;trre74;trre75;trun74;trun75;avgre;travgre;unem78;em78
1;28;8;1;0;0;0;0;1;1;0;784;0;0;1;1;0;0;1;0
1;31;11;1;0;1;0;0;1;1;8.0874901;961;0;0;1;1;0;0;0;1
1;18;11;1;0;0;0;0;1;1;0;324;0;0;1;1;0;0;1;0
1;25;12;1;0;0;0;0;1;1;2.3489699;625;0;0;1;1;0;0;0;1
1;30;11;1;0;1;0;0;1;1;.59078199;900;0;0;1;1;0;0;0;1
1;17;10;1;0;0;0;0;1;1;0;289;0;0;1;1;0;0;1;0
1;37;9;1;0;0;0;0;1;1;1.06751;1369;0;0;1;1;0;0;0;1
1;41;4;1;0;1;0;0;1;1;7.2849903;1681;0;0;1;1;0;0;0;1
1;42;14;1;0;1;0;0;1;1;13.1675;1764;0;0;1;1;0;0;0;1
1;17;8;1;0;0;0;0;1;1;0;289;0;0;1;1;0;0;1;0
1;29;8;1;0;0;0;0;1;1;1.9239399;841;0;0;1;1;0;0;0;1
1;35;10;1;0;0;0;0;1;1;4.6662402;1225;0;0;1;1;0;0;0;1
1;27;11;1;0;0;0;0;1;1;.54929799;729;0;0;1;1;0;0;0;1
1;29;4;1;0;0;0;0;1;1;.76291496;841;0;0;1;1;0;0;0;1
1;28;9;1;0;0;0;0;1;1;10.6943;784;0;0;1;1;0;0;0;1
1;27;11;1;0;0;0;0;1;1;0;729;0;0;1;1;0;0;1;0
1;45;5;1;0;1;0;0;1;1;8.5467196;2025;0;0;1;1;0;0;0;1
1;29;13;1;0;0;0;0;1;1;7.47966;841;0;0;1;1;0;0;0;1
1;27;9;1;0;0;0;0;1;1;0;729;0;0;1;1;0;0;1;0
1;46;13;1;0;0;0;0;1;1;.647205;2116;0;0;1;1;0;0;0;1
1;18;6;1;0;0;0;0;1;1;0;324;0;0;1;1;0;0;1;0
1;25;12;1;0;0;0;0;1;1;11.965799;625;0;0;1;1;0;0;0;1
1;28;15;1;0;0;0;0;1;1;9.5985403;784;0;0;1;1;0;0;0;1
1;22;12;1;0;0;0;0;1;1;18.678099;484;0;0;1;1;0;0;0;1
1;21;9;1;0;0;0;0;1;1;0;441;0;0;1;1;0;0;1;0
1;40;11;1;0;0;0;0;1;1;23.0056;1600;0;0;1;1;0;0;0;1
1;22;11;1;0;0;0;0;1;1;6.4567003;484;0;0;1;1;0;0;0;1
1;25;12;1;0;0;0;0;1;1;0;625;0;0;1;1;0;0;1;0
1;18;12;1;0;0;0;0;1;1;2.32111;324;0;0;1;1;0;0;0;1
1;27;13;1;0;0;0;0;1;1;0;729;0;0;1;1;0;0;1;0
1;27;8;1;0;0;0;0;1;1;0;729;0;0;1;1;0;0;1;0
1;38;11;1;0;0;0;0;1;1;0;1444;0;0;1;1;0;0;1;0
1;26;11;1;0;0;0;0;1;1;17.231001;676;0;0;1;1;0;0;0;1
1;25;8;1;0;0;0;0;1;1;0;625;0;0;1;1;0;0;1;0
1;31;11;1;0;1;0;0;1;1;14.5099;961;0;0;1;1;0;0;0;1
1;17;10;1;0;0;0;0;1;1;0;289;0;0;1;1;0;0;1;0
1;25;11;1;0;0;0;0;1;1;0;625;0;0;1;1;0;0;1;0
1;21;12;1;0;0;0;0;1;1;9.9837799;441;0;0;1;1;0;0;0;1
1;44;11;1;0;0;0;0;1;1;0;1936;0;0;1;1;0;0;1;0
1;18;9;1;0;0;0;0;1;1;4.4828501;324;0;0;1;1;0;0;0;1
1;42;12;1;0;0;0;0;1;1;2.4561498;1764;0;0;1;1;0;0;0;1
1;25;10;1;0;0;0;0;1;1;0;625;0;0;1;1;0;0;1;0
1;24;10;1;0;0;0;0;1;1;0;576;0;0;1;1;0;0;1;0
1;26;10;1;0;0;0;0;1;1;9.26579;676;0;0;1;1;0;0;0;1
1;25;11;1;0;0;0;0;1;1;.48523;625;0;0;1;1;0;0;0;1
1;18;11;1;0;0;0;0;1;1;4.81463;324;0;0;1;1;0;0;0;1
1;19;11;1;0;0;0;0;1;1;7.4581099;361;0;0;1;1;0;0;0;1
1;43;9;1;0;0;0;0;1;1;0;1849;0;0;1;1;0;0;1;0
1;27;13;1;0;0;0;0;1;1;34.0993;729;0;0;1;1;0;0;0;1
1;17;9;1;0;0;0;0;1;1;1.9532701;289;0;0;1;1;0;0;0;1
1;30;11;1;0;0;0;0;1;1;0;900;0;0;1;1;0;0;1;0
1;26;10;1;0;1;2.0280001;0;1;0;0;676;2.0280001;0;0;1;1.0140001;1.0140001;1;0
1;20;9;1;0;0;6.0839901;0;1;0;8.88167;400;6.0839901;0;0;1;3.041995;3.041995;0;1
1;20;12;1;0;0;.989268;.165208;0;0;0;400;.989268;.165208;0;0;.57723802;.57723802;1;0
1;18;11;1;0;0;.85825402;.214564;0;0;.92988396;324;.85825402;.214564;0;0;.53640902;.53640902;0;1
1;27;12;1;0;1;3.6708701;.33404902;0;0;0;729;3.6708701;.33404902;0;0;2.0024595;2.0024595;1;0
1;27;12;1;0;0;2.14341;.35795;0;0;22.163301;729;2.14341;.35795;0;0;1.25068;1.25068;0;1
1;20;12;1;0;0;0;.37756899;0;1;1.65264;400;0;.37756899;1;0;.18878449;.18878449;0;1
1;19;10;1;0;0;0;.38527399;0;1;8.1247206;361;0;.38527399;1;0;.192637;.192637;0;1
1;23;12;1;0;0;5.50631;.50107402;0;0;.67133194;529;5.50631;.50107402;0;0;3.0036919;3.0036919;0;1
1;29;14;1;0;0;0;.67967296;0;1;17.815001;841;0;.67967296;1;0;.33983648;.33983648;0;1
1;18;10;1;0;0;0;.798908;0;1;9.7371502;324;0;.798908;1;0;.399454;.399454;0;1
1;19;9;1;0;0;0;.798908;0;1;17.6852;361;0;.798908;1;0;.399454;.399454;0;1
1;27;9;1;0;1;0;.93444502;0;1;1.7734201;729;0;.93444502;1;0;.46722251;.46722251;0;1
1;22;12;1;0;0;5.6058502;.93617702;0;0;0;484;5.6058502;.93617702;0;0;3.2710137;3.2710137;1;0
1;23;10;1;0;1;0;.93643904;0;1;11.2333;529;0;.93643904;1;0;.46821952;.46821952;0;1
1;20;11;1;0;0;3.6375;1.22084;0;0;1.0854399;400;3.6375;1.22084;0;0;2.4291701;2.4291701;0;1
1;17;9;1;0;0;1.7165101;1.2534399;0;0;5.4452;289;1.7165101;1.2534399;0;0;1.484975;1.484975;0;1
1;28;11;1;0;0;0;1.2840799;0;1;60.307899;784;0;1.2840799;1;0;.64203995;.64203995;0;1
1;26;11;1;0;1;0;1.3928499;0;1;1.4603599;676;0;1.3928499;1;0;.69642496;.69642496;0;1
1;20;11;1;0;0;16.3186;1.48499;0;0;6.9433398;400;16.3186;1.48499;0;0;8.9017944;8.9017944;0;1
1;24;11;1;0;1;.82438898;1.66611;0;0;4.0327101;576;.82438898;1.66611;0;0;1.2452495;1.2452495;0;1
1;31;9;1;0;0;0;1.6986099;0;1;10.363299;961;0;1.6986099;1;0;.84930497;.84930497;0;1
1;18;10;1;0;0;2.14341;1.78427;0;0;11.1414;324;2.14341;1.78427;0;0;1.96384;1.96384;0;1
1;29;12;1;0;0;10.881901;1.8172801;0;0;0;841;10.881901;1.8172801;0;0;6.3495903;6.3495903;1;0
1;24;9;1;0;0;9.1547003;2.2886798;0;0;4.8495603;576;9.1547003;2.2886798;0;0;5.7216902;5.7216902;0;1
1;25;12;1;0;0;14.4268;2.40927;0;0;0;625;14.4268;2.40927;0;0;8.4180346;8.4180346;1;0
1;24;10;1;0;0;4.2504001;2.4219499;0;0;1.6605101;576;4.2504001;2.4219499;0;0;3.336175;3.336175;0;1
1;46;8;1;0;0;3.1656599;2.5947199;0;0;0;2116;3.1656599;2.5947199;0;0;2.8801899;2.8801899;1;0
1;19;11;1;0;0;2.3050301;2.6152799;0;0;4.1466002;361;2.3050301;2.6152799;0;0;2.460155;2.460155;0;1
1;19;8;1;0;0;0;2.6570601;0;1;9.9706793;361;0;2.6570601;1;0;1.3285301;1.3285301;0;1
1;27;11;1;0;0;2.2069399;2.66627;0;0;0;729;2.2069399;2.66627;0;0;2.436605;2.436605;1;0
1;26;11;1;0;1;0;2.7546499;0;1;26.372301;676;0;2.7546499;1;0;1.3773249;1.3773249;0;1
1;20;10;1;0;0;5.0057302;2.7773602;0;0;5.61519;400;5.0057302;2.7773602;0;0;3.8915453;3.8915453;0;1
1;28;10;1;0;0;0;2.8365099;0;1;3.1965702;784;0;2.8365099;1;0;1.418255;1.418255;0;1
1;24;12;1;0;0;13.7658;2.8427601;0;0;6.1676803;576;13.7658;2.8427601;0;0;8.3042793;8.3042793;0;1
1;19;8;1;0;0;2.6363502;2.9372599;0;0;7.5359402;361;2.6363502;2.9372599;0;0;2.7868052;2.7868052;0;1
1;23;12;1;0;0;6.26934;3.0399599;0;0;8.4842405;529;6.26934;3.0399599;0;0;4.6546497;4.6546497;0;1
1;42;9;1;0;1;0;3.0585301;0;1;1.29441;1764;0;3.0585301;1;0;1.529265;1.529265;0;1
1;25;13;1;0;0;12.362901;3.09073;0;0;0;625;12.362901;3.09073;0;0;7.7268152;7.7268152;1;0
1;18;9;1;0;0;0;3.28738;0;1;5.0103397;324;0;3.28738;1;0;1.64369;1.64369;0;1
1;21;12;1;0;0;6.47368;3.3324099;0;0;9.3710403;441;6.47368;3.3324099;0;0;4.9030447;4.9030447;0;1
1;27;10;1;0;0;1.00115;3.5500801;0;0;0;729;1.00115;3.5500801;0;0;2.275615;2.275615;1;0
1;21;8;1;0;0;.989268;3.6959;0;0;4.2796097;441;.989268;3.6959;0;0;2.3425839;2.3425839;0;1
1;22;9;1;0;0;2.1928799;3.8369899;0;0;3.4625602;484;2.1928799;3.8369899;0;0;3.014935;3.014935;0;1
1;31;4;1;0;0;8.5175896;4.02321;0;0;7.3825498;961;8.5175896;4.02321;0;0;6.2704;6.2704;0;1
1;24;10;1;0;1;11.7032;4.0781498;0;0;0;576;11.7032;4.0781498;0;0;7.8906751;7.8906751;1;0
1;29;10;1;0;0;0;4.3989501;0;1;0;841;0;4.3989501;1;0;2.199475;2.199475;1;0
1;29;12;1;0;0;9.7483892;4.8789401;0;0;10.9765;841;9.7483892;4.8789401;0;0;7.3136644;7.3136644;0;1
1;31;9;1;0;0;10.717;5.5178399;0;0;9.5585003;961;10.717;5.5178399;0;0;8.1174202;8.1174202;0;1
1;22;10;1;0;1;1.4683499;5.5886602;0;0;13.2283;484;1.4683499;5.5886602;0;0;3.5285051;3.5285051;0;1
1;21;9;1;0;0;6.4164701;5.74933;0;0;.74366701;441;6.4164701;5.74933;0;0;6.0829;6.0829;0;1
1;17;10;1;0;0;1.2914699;5.7938499;0;0;5.52279;289;1.2914699;5.7938499;0;0;3.54266;3.54266;0;1
1;26;12;1;0;1;8.4087601;5.7948298;0;0;1.42494;676;8.4087601;5.7948298;0;0;7.1017952;7.1017952;0;1
1;19;10;1;0;0;4.1219501;6.0567498;0;0;0;361;4.1219501;6.0567498;0;0;5.0893497;5.0893497;1;0
1;26;10;1;0;0;25.929699;6.78896;0;0;.67287701;676;25.929699;6.78896;0;0;16.359329;16.359329;0;1
1;28;11;1;0;0;1.9290301;6.87186;0;0;0;784;1.9290301;6.87186;0;0;4.400445;4.400445;1;0
1;33;11;1;0;0;0;7.8679199;0;1;6.2814302;1089;0;7.8679199;1;0;3.93396;3.93396;0;1
1;33;12;1;0;1;20.280001;10.941401;0;0;15.9526;1089;20.280001;10.941401;0;0;15.610701;15.610701;0;1
1;25;14;1;0;1;35.0401;11.536599;0;0;36.646999;625;35.0401;11.536599;0;0;23.288349;23.288349;0;1
1;35;9;1;0;1;13.602401;13.8306;0;0;12.804;1225;13.602401;13.8306;0;0;13.7165;13.7165;0;1
1;35;8;1;0;1;13.7321;17.9762;0;0;3.7866299;1225;13.7321;17.9762;0;0;15.85415;15.85415;0;1
1;33;11;1;0;1;14.6607;25.142199;0;0;4.1819401;1089;14.6607;25.142199;0;0;19.901449;19.901449;0;1
1;22;9;0;1;0;0;0;1;1;3.5958898;484;0;0;1;1;0;0;0;1
1;33;12;0;0;1;0;0;1;1;12.418099;1089;0;0;1;1;0;0;0;1
1;41;14;0;0;0;0;0;1;1;5.1494999;1681;0;0;1;1;0;0;0;1
1;38;9;0;0;0;0;0;1;1;6.4089503;1444;0;0;1;1;0;0;0;1
1;27;10;0;1;0;0;0;1;1;11.1429;729;0;0;1;1;0;0;0;1
1;19;9;0;0;0;0;0;1;1;13.1888;361;0;0;1;1;0;0;0;1
1;18;8;0;1;1;0;0;1;1;2.7879601;324;0;0;1;1;0;0;0;1
1;22;11;0;0;0;0;0;1;1;1.0484301;484;0;0;1;1;0;0;0;1
1;23;7;0;0;0;0;0;1;1;0;529;0;0;1;1;0;0;1;0
1;25;11;0;0;0;0;0;1;1;18.7834;625;0;0;1;1;0;0;0;1
1;38;12;0;0;0;0;0;1;1;4.9418502;1444;0;0;1;1;0;0;0;1
1;23;8;0;1;0;0;0;1;1;3.8812799;529;0;0;1;1;0;0;0;1
1;21;12;0;0;0;0;0;1;1;8.0486002;441;0;0;1;1;0;0;0;1
1;25;12;0;0;0;0;0;1;1;5.5875001;625;0;0;1;1;0;0;0;1
1;31;9;0;1;0;0;0;1;1;26.8176;961;0;0;1;1;0;0;0;1
1;17;9;0;1;0;.44517002;.074343495;0;0;6.21067;289;.44517002;.074343495;0;0;.25975674;.25975674;0;1
1;21;12;0;0;0;3.6708701;.33404902;0;0;12.558;441;3.6708701;.33404902;0;0;2.0024595;2.0024595;0;1
1;27;13;0;0;1;9.3815699;.85372305;0;0;0;729;9.3815699;.85372305;0;0;5.1176462;5.1176462;1;0
1;18;11;0;0;0;3.67823;.91955799;0;0;4.3217101;324;3.67823;.91955799;0;0;2.2988939;2.2988939;0;1
1;23;12;0;1;0;9.3857403;1.11744;0;0;.559443;529;9.3857403;1.11744;0;0;5.2515903;5.2515903;0;1
1;23;8;0;0;1;0;1.71315;0;1;4.2323103;529;0;1.71315;1;0;.85657501;.85657501;0;1
1;26;11;0;0;0;0;2.22627;0;1;13.3859;676;0;2.22627;1;0;1.113135;1.113135;0;1
1;31;12;0;0;0;0;2.6112199;0;1;2.48455;961;0;2.6112199;1;0;1.3056099;1.3056099;0;1
1;19;10;0;0;0;0;5.32411;0;1;13.829599;361;0;5.32411;1;0;2.662055;2.662055;0;1
1;19;11;0;1;1;5.4244905;5.4638;0;0;6.7884598;361;5.4244905;5.4638;0;0;5.4441452;5.4441452;0;1
1;20;9;0;1;0;12.260799;5.8750496;0;0;1.35864;400;12.260799;5.8750496;0;0;9.0679245;9.0679245;0;1
1;22;12;0;1;1;.49223098;7.0557003;0;0;10.0928;484;.49223098;7.0557003;0;0;3.7739656;3.7739656;0;1
1;22;12;0;0;0;6.7599902;8.4554996;0;0;12.5907;484;6.7599902;8.4554996;0;0;7.6077452;7.6077452;0;1
1;29;10;0;1;0;0;8.8536701;0;1;5.11201;841;0;8.8536701;1;0;4.4268351;4.4268351;0;1
0;50;12;1;0;1;0;0;1;1;0;2500;0;0;0;0;0;0;1;0
0;28;12;1;0;1;0;0;1;1;0;784;0;0;0;0;0;0;1;0
0;25;12;1;0;0;0;0;1;1;0;625;0;0;0;0;0;0;1;0
0;50;12;1;0;1;0;0;1;1;0;2500;0;0;0;0;0;0;1;0
0;23;12;1;0;0;0;0;1;1;4.7287302;529;0;0;0;0;0;0;0;1
0;34;14;1;0;1;0;0;1;1;0;1156;0;0;0;0;0;0;1;0
0;36;12;1;0;1;0;0;1;1;17.732698;1296;0;0;0;0;0;0;0;1
0;36;12;1;0;1;0;8.9516106;0;1;11.8218;1296;0;0;0;0;4.4758053;0;0;1
0;33;13;1;0;1;0;10.7419;0;1;20.6882;1089;0;0;0;0;5.3709502;0;0;1
0;25;12;1;0;1;0;21.4839;0;1;1.2206;625;0;0;0;0;10.74195;0;0;1
0;43;12;1;0;1;.715132;1.87984;0;0;5.9109101;1849;0;0;0;0;1.2974861;0;0;1
0;24;12;1;0;0;.78370696;0;1;0;10.3441;576;0;0;0;0;.39185348;0;0;1
0;23;12;1;0;0;1.0776;3.2225802;0;0;5.9109101;529;0;0;0;0;2.1500902;0;0;1
0;22;12;1;0;1;1.2696;0;1;0;0;484;0;0;0;0;.63480002;0;1;0
0;20;12;1;0;0;1.3675699;12.5323;0;0;2.9554501;400;0;0;0;0;6.949935;0;0;1
0;21;12;1;0;0;1.95927;5.4604802;0;0;1.15263;441;0;0;0;0;3.7098751;0;0;1
0;22;12;1;0;1;2.00629;2.47065;0;0;0;484;0;0;0;0;2.2384701;0;1;0
0;20;12;1;0;0;2.3511202;4.4758101;0;0;17.732698;400;0;0;0;0;3.413465;0;0;1
0;28;12;1;0;0;2.9389;2.8645201;0;0;0;784;0;0;0;0;2.90171;0;1;0
0;24;12;1;0;0;3.33075;4.65484;0;0;11.8218;576;0;0;0;0;3.992795;0;0;1
0;22;12;1;0;0;3.5795801;17.1334;0;0;11.8218;484;0;0;0;0;10.35649;0;0;1
0;20;12;1;0;0;3.7304399;8.9516106;0;0;13.2995;400;0;0;0;0;6.3410254;0;0;1
0;27;12;1;0;1;3.91853;1.9944201;0;0;17.732698;729;0;0;0;0;2.956475;0;0;1
0;23;12;1;0;1;3.91853;2.8645201;0;0;8.8663607;529;0;0;0;0;3.391525;0;0;1
0;23;12;1;0;1;3.91853;11.637099;0;0;9.7530003;529;0;0;0;0;7.7778149;0;0;1
0;31;12;1;0;1;3.91853;18.4403;0;0;24.9736;961;0;0;0;0;11.179415;0;0;1
0;19;12;1;0;0;5.38798;8.0564499;0;0;12.1174;361;0;0;0;0;6.7222147;0;0;1
0;21;12;1;0;1;5.868;3.04355;0;0;10.0485;441;0;0;0;0;4.4557753;0;0;1
0;24;12;1;0;1;5.8778;8.9516106;0;0;17.732698;576;0;0;0;0;7.4147053;0;0;1
0;31;12;1;0;1;5.8778;11.0642;0;0;15.9594;961;0;0;0;0;8.4710007;0;0;1
0;22;12;1;0;0;5.89152;10.3678;0;0;5.7631297;484;0;0;0;0;8.1296597;0;0;1
0;20;13;1;0;0;5.8973904;12.5323;0;0;14.7773;400;0;0;0;0;9.2148457;0;0;1
0;23;12;1;0;0;6.4949703;12.5323;0;0;14.1862;529;0;0;0;0;9.5136356;0;0;1
0;22;12;1;0;0;6.5831404;4.4758101;0;0;0;484;0;0;0;0;5.5294752;0;1;0
0;21;12;1;0;0;6.66151;11.458099;0;0;11.2086;441;0;0;0;0;9.0598049;0;0;1
0;27;12;1;0;1;6.8554702;0;1;0;8.2752695;729;0;0;0;0;3.4277351;0;0;1
0;27;13;1;0;1;6.85743;4.0962596;0;0;24.514;729;0;0;0;0;5.4768448;0;0;1
0;24;12;1;0;1;6.85743;14.322599;0;0;26.5991;576;0;0;0;0;10.590014;0;0;1
0;28;15;1;0;0;7.44521;0;1;0;12.708401;784;0;0;0;0;3.722605;0;0;1
0;53;14;1;0;1;7.64114;8.4216795;0;0;8.1274996;2809;0;0;0;0;8.0314102;0;0;1
0;19;12;1;0;0;7.83707;3.75968;0;0;3.69432;361;0;0;0;0;5.7983751;0;0;1
0;32;12;1;0;1;7.83707;5.3709702;0;0;8.8663607;1024;0;0;0;0;6.6040201;0;0;1
0;20;12;1;0;1;7.83707;8.9516106;0;0;20.6882;400;0;0;0;0;8.3943405;0;0;1
0;27;12;1;0;1;7.83707;8.9516106;0;0;2.21068;729;0;0;0;0;8.3943405;0;0;1
0;23;12;1;0;1;7.83707;12.5323;0;0;21.870399;529;0;0;0;0;10.184685;0;0;1
0;23;12;1;0;1;7.9938102;13.427401;0;0;4.4331803;529;0;0;0;0;10.710606;0;0;1
0;21;12;1;0;1;8.1505499;13.0926;0;0;10.5835;441;0;0;0;0;10.621574;0;0;1
0;24;12;1;0;1;8.2759409;15.4165;0;0;8.3358603;576;0;0;0;0;11.84622;0;0;1
0;26;12;1;0;1;8.6168604;8.5935497;0;0;10.3441;676;0;0;0;0;8.6052055;0;0;1
0;23;14;1;0;1;8.6756296;10.3982;0;0;13.004;529;0;0;0;0;9.5369148;0;0;1
0;25;12;1;0;0;8.8167;6.26613;0;0;10.3441;625;0;0;0;0;7.5414152;0;0;1
0;23;12;1;0;1;8.8167;12.1742;0;0;18.4716;529;0;0;0;0;10.49545;0;0;1
0;27;12;1;0;0;8.8167;14.322599;0;0;19.2104;729;0;0;0;0;11.56965;0;0;1
0;21;12;1;0;0;8.8167;14.8597;0;0;5.5784197;441;0;0;0;0;11.8382;0;0;1
0;23;14;1;0;1;8.9342594;12.5323;0;0;8.8663607;529;0;0;0;0;10.73328;0;0;1
0;23;16;1;0;0;9.0126295;16.4907;0;0;19.2104;529;0;0;0;0;12.751665;0;0;1
0;27;12;1;0;1;9.0674906;5.3709702;0;0;6.6497698;729;0;0;0;0;7.2192307;0;0;1
0;21;12;1;0;1;9.1693697;7.1612902;0;0;7.3886299;441;0;0;0;0;8.1653299;0;0;1
0;23;12;1;0;1;9.1693697;8.2712898;0;0;10.4032;529;0;0;0;0;8.7203293;0;0;1
0;21;14;1;0;0;9.4201508;5.3709702;0;0;9.9007692;441;0;0;0;0;7.3955603;0;0;1
0;27;12;1;0;1;9.7963305;0;1;0;11.8218;729;0;0;0;0;4.8981652;0;0;1
0;21;12;1;0;1;9.7963305;4.2967701;0;0;14.7773;441;0;0;0;0;7.0465503;0;0;1
0;33;12;1;0;0;9.7963305;8.9516106;0;0;0;1089;0;0;0;0;9.37397;0;1;0
0;22;12;1;0;1;9.7963305;10.7419;0;0;11.162701;484;0;0;0;0;10.269115;0;0;1
0;29;12;1;0;1;9.7963305;12.5323;0;0;19.2104;841;0;0;0;0;11.164315;0;0;1
0;23;12;1;0;1;9.7963305;12.5323;0;0;11.8218;529;0;0;0;0;11.164315;0;0;1
0;27;12;1;0;1;9.7963305;14.322599;0;0;11.8218;729;0;0;0;0;12.059465;0;0;1
0;24;12;1;0;1;9.7963305;14.322599;0;0;33.987698;576;0;0;0;0;12.059465;0;0;1
0;25;12;1;0;1;9.7963305;21.4839;0;0;6.6497698;625;0;0;0;0;15.640116;0;0;1
0;30;12;1;0;1;9.7963305;25.064501;0;0;29.554501;900;0;0;0;0;17.430416;0;0;1
0;26;12;1;0;0;9.9138899;10.7419;0;0;15.619599;676;0;0;0;0;10.327895;0;0;1
0;31;12;1;0;1;10.1882;8.9516106;0;0;9.6052198;961;0;0;0;0;9.5699053;0;0;1
0;25;13;1;0;0;10.247;15.3968;0;0;12.4868;625;0;0;0;0;12.821899;0;0;1
0;27;12;1;0;0;10.623099;3.2225802;0;0;8.8663607;729;0;0;0;0;6.9228396;0;0;1
0;27;12;1;0;1;10.776;8.9516106;0;0;7.5364103;729;0;0;0;0;9.8638058;0;0;1
0;24;12;1;0;0;10.776;9.30968;0;0;8.2752695;576;0;0;0;0;10.04284;0;0;1
0;20;12;1;0;0;10.776;16.372499;0;0;29.554501;400;0;0;0;0;13.574249;0;0;1
0;23;12;1;0;1;10.776;20.4813;0;0;29.392;529;0;0;0;0;15.628651;0;0;1
0;26;12;1;0;1;11.1678;1.0741899;0;0;8.8663607;676;0;0;0;0;6.120995;0;0;1
0;23;12;1;0;1;11.1678;7.8129702;0;0;14.7773;529;0;0;0;0;9.4903851;0;0;1
0;24;12;1;0;0;11.2854;13.069401;0;0;10.3441;576;0;0;0;0;12.177401;0;0;1
0;23;12;1;0;0;11.3285;2.6854799;0;0;29.216099;529;0;0;0;0;7.00699;0;0;1
0;28;14;1;0;1;11.7556;0;1;0;25.875;784;0;0;0;0;5.8778;0;0;1
0;29;12;1;0;1;11.7556;9.8467693;0;0;20.6882;841;0;0;0;0;10.801185;0;0;1
0;24;13;1;0;1;11.7556;10.7419;0;0;31.097301;576;0;0;0;0;11.248751;0;0;1
0;21;12;1;0;1;11.7556;14.322599;0;0;16.254999;441;0;0;0;0;13.0391;0;0;1
0;25;12;1;0;1;11.7556;14.322599;0;0;21.427;625;0;0;0;0;13.0391;0;0;1
